1.531535360000000026e+02,1.835991039999999828e+02
1.532108800000000031e+02,2.169241600000000005e+02
1.532108800000000031e+02,2.572042240000000106e+02
1.532108800000000031e+02,2.960793600000000083e+02
1.532108800000000031e+02,3.422412799999999606e+02
1.532108800000000031e+02,3.840000000000000000e+02
1.532108800000000031e+02,4.253081599999999867e+02
1.532108800000000031e+02,4.609966079999999806e+02
1.532108800000000031e+02,5.010595839999999725e+02
1.532108800000000031e+02,5.388738559999999325e+02
1.532108800000000031e+02,5.753241600000000062e+02
1.532108800000000031e+02,6.132326399999999467e+02
1.532108800000000031e+02,6.614958080000000109e+02
1.532108800000000031e+02,6.884392960000000130e+02
1.532108800000000031e+02,7.214817279999999755e+02
1.532108800000000031e+02,7.509360639999999876e+02
1.532108800000000031e+02,7.963197440000000142e+02
1.532108800000000031e+02,8.267038719999999330e+02
1.532108800000000031e+02,8.678399999999999181e+02
1.532108800000000031e+02,8.963481600000000071e+02
